State,International plan,Voice mail plan,state_numeric,Area code,Account length,International plan_numeric,Voice mail plan numeric,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Tota all miniutes,Total all calls,Total all charges,Customer service calls,churn_numeric,Churn
NY,No,No,41,510,137,0,0,0,109.8,120,18.67,230.5,86,19.59,255.8,103,11.51,11.9,6,3.21,608,315,52.98,1,0,FALSE
NC,No,No,35,415,182,0,0,0,279.5,118,47.52,203.2,113,17.27,174.2,101,7.84,10.7,4,2.89,667.6,336,75.52,2,1,TRUE
HI,No,Yes,49,415,134,0,1,38,214.4,93,36.45,211.7,57,17.99,165,79,7.43,10,8,2.7,601.1,237,64.57,1,0,FALSE
DC,No,No,40,415,45,0,0,0,96.1,103,16.34,246.8,134,20.98,229.7,92,10.34,9.7,4,2.62,582.3,333,50.28,1,0,FALSE
LA,No,Yes,23,408,163,0,1,23,224,126,38.08,233.5,89,19.85,293.9,104,13.23,8.8,4,2.38,760.2,323,73.54,1,0,FALSE
HI,No,No,49,415,105,0,0,0,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,14.7,7,3.97,624,268,64.85,4,0,FALSE
FL,No,No,16,415,119,0,0,0,109.2,96,18.56,153.1,80,13.01,240,102,10.8,9.8,5,2.65,512.1,283,45.02,2,0,FALSE
WY,No,No,20,408,78,0,0,0,220,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,599.6,330,64.27,0,0,FALSE
OR,No,Yes,29,408,125,0,1,32,96.5,109,16.41,145.8,109,12.39,174.4,82,7.85,9.4,2,2.54,426.1,302,39.19,1,0,FALSE
IN,No,No,31,415,88,0,0,0,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,8.3,5,2.24,556.1,266,56.65,3,0,FALSE
MD,No,Yes,26,408,83,0,1,38,107.9,90,18.34,140.4,94,11.93,253.6,79,11.41,10.5,2,2.84,512.4,265,44.52,0,0,FALSE
TN,Yes,No,47,510,3,1,0,0,161,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,594.4,287,58.41,1,0,FALSE
WA,No,No,36,510,48,0,0,0,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,517.3,366,50.27,3,0,FALSE
IN,No,No,31,415,129,0,0,0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,519,331,51.9,1,1,TRUE
CO,No,Yes,17,408,66,0,1,40,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3,659.8,251,60.06,0,0,FALSE
TX,No,Yes,15,510,80,0,1,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,532.2,300,56.61,0,0,FALSE
WV,No,No,8,408,84,0,0,0,146.8,133,24.96,171.7,73,14.59,234.5,69,10.55,9.9,3,2.67,562.9,278,52.77,1,0,FALSE
MA,No,No,6,415,96,0,0,0,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46,675.2,314,65.67,1,0,FALSE
TN,No,Yes,47,415,123,0,1,34,305.2,80,51.88,156.5,109,13.3,280,81,12.6,13.2,7,3.56,754.9,277,81.34,1,0,FALSE
ID,Yes,Yes,12,510,116,1,1,29,162.3,91,27.59,279.3,79,23.74,192.7,131,8.67,11.7,2,3.16,646,303,63.16,3,1,TRUE
DE,Yes,No,30,415,105,1,0,0,150,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,704.8,301,64.53,3,0,FALSE
VA,No,No,14,415,80,0,0,0,197.5,114,33.58,206.9,119,17.59,163.6,109,7.36,11.3,4,3.05,579.3,346,61.58,1,0,FALSE
MT,No,No,11,408,157,0,0,0,240.2,67,40.83,153,98,13.01,249,72,11.21,10.2,6,2.75,652.4,243,67.8,2,0,FALSE
ID,No,Yes,12,510,67,0,1,30,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48,650.1,309,66.89,2,0,FALSE
MD,No,Yes,26,415,79,0,1,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12,4,3.24,771.8,262,77.56,1,0,FALSE
MS,No,No,44,408,76,0,0,0,173.2,93,29.44,131.2,80,11.15,170.9,104,7.69,5.4,3,1.46,480.7,280,49.74,0,0,FALSE
OH,No,No,2,415,94,0,0,0,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81,551,348,56.26,0,0,FALSE
AR,No,No,27,510,109,0,0,0,175.4,125,29.82,250.7,87,21.31,289.3,74,13.02,9.8,9,2.65,725.2,295,66.8,1,0,FALSE
AZ,No,No,18,415,138,0,0,0,87.6,112,14.89,266.9,107,22.69,214.6,104,9.66,9.8,10,2.65,578.9,333,49.89,2,0,FALSE
SC,No,No,46,415,73,0,0,0,203.3,45,34.56,141.9,87,12.06,200.7,71,9.03,8.5,6,2.3,554.4,209,57.95,0,0,FALSE
KY,No,No,42,415,21,0,0,0,92.6,95,15.74,161.9,70,13.76,285,78,12.83,11.3,3,3.05,550.8,246,45.38,5,1,TRUE
NE,No,No,19,408,103,0,0,0,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3,579.4,279,54.32,1,0,FALSE
MN,No,Yes,37,408,79,0,1,32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,403,274,33.46,2,0,FALSE
NV,No,No,39,415,89,0,0,0,134.9,59,22.93,156,152,13.26,197.5,112,8.89,10.2,5,2.75,498.6,328,47.83,1,0,FALSE
CA,No,No,33,415,120,0,0,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7,13.8,3,3.73,647.6,299,72.81,1,0,FALSE
UT,No,Yes,32,415,121,0,1,41,215.5,95,36.64,241.8,92,20.55,147,108,6.61,9.6,3,2.59,613.9,298,66.39,1,0,FALSE
IL,No,No,21,415,101,0,0,0,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62,588.6,270,55.39,0,0,FALSE
DC,No,No,40,408,115,0,0,0,178.7,114,30.38,271,96,23.04,245.9,94,11.07,16.4,5,4.43,712,309,68.92,2,0,FALSE
IN,No,No,31,415,168,0,0,0,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,665.1,309,62.22,2,0,FALSE
MS,No,No,44,510,70,0,0,0,147.1,105,25.01,200,135,17,234.9,65,10.57,12.5,9,3.38,594.5,314,55.96,3,0,FALSE
VT,No,No,13,415,138,0,0,0,230.1,107,39.12,212,120,18.02,174.9,119,7.87,13.2,4,3.56,630.2,350,68.57,1,0,FALSE
VT,No,No,13,408,43,0,0,0,135.8,125,23.09,163.2,88,13.87,229.8,106,10.34,12.6,3,3.4,541.4,322,50.7,0,0,FALSE
UT,No,Yes,32,510,117,0,1,20,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35,509.9,355,56.06,2,0,FALSE
KY,No,No,42,408,108,0,0,0,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94,398.3,320,35.34,2,0,FALSE
VA,No,No,14,408,118,0,0,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10,1,2.7,703.7,336,66.92,2,0,FALSE
AZ,No,Yes,18,408,62,0,1,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,563.1,262,52.16,0,0,FALSE
NY,No,No,41,510,86,0,0,0,70.7,125,12.02,211,113,17.94,174.6,107,7.86,0,0,0,456.3,345,37.82,2,0,FALSE
VA,No,No,14,408,44,0,0,0,204.6,117,34.78,205.2,94,17.44,164.6,84,7.41,10.7,5,2.89,585.1,300,62.52,0,0,FALSE
MD,No,No,26,510,111,0,0,0,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12,2,3.24,533.9,262,50.67,5,1,TRUE
MA,No,Yes,6,510,127,0,1,19,129.7,115,22.05,160.8,101,13.67,265,63,11.93,12.2,3,3.29,567.7,282,50.94,2,0,FALSE
IL,Yes,No,21,415,151,1,0,0,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35,702.5,306,67.63,0,0,FALSE
PA,No,No,48,415,137,0,0,0,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27,560.3,327,60.74,1,0,FALSE
TN,No,No,47,415,106,0,0,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,553.9,351,50.85,2,0,FALSE
NJ,No,No,3,510,88,0,0,0,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,523.2,290,49.59,3,0,FALSE
VA,No,No,14,415,106,0,0,0,235.2,121,39.98,220.6,87,18.75,236.3,91,10.63,11.8,4,3.19,703.9,303,72.55,1,0,FALSE
NJ,Yes,No,3,510,57,1,0,0,115,65,19.55,122.3,96,10.4,245,75,11.03,6.4,1,1.73,488.7,237,42.71,0,1,TRUE
WA,No,No,36,408,184,0,0,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,572.4,289,54.81,2,0,FALSE
AR,No,No,27,510,109,0,0,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,726.3,262,63.41,3,0,FALSE
WI,No,No,28,415,127,0,0,0,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,582.3,359,61.59,2,0,FALSE
ME,No,No,43,415,174,0,0,0,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94,670.8,274,65.7,2,0,FALSE
CO,No,No,17,415,92,0,0,0,184.7,60,31.4,262,73,22.27,239.5,120,10.78,12.3,6,3.32,698.5,259,67.77,2,1,TRUE
CO,No,No,17,408,81,0,0,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18,2,4.86,510.5,316,50.42,1,0,FALSE
CT,No,No,51,408,119,0,0,0,294.2,100,50.01,232.5,53,19.76,195,64,8.78,9,1,2.43,730.7,218,80.98,0,1,TRUE
NC,No,No,35,415,122,0,0,0,215.6,86,36.65,167.8,59,14.26,207,67,9.32,6.4,8,1.73,596.8,220,61.96,3,0,FALSE
WY,No,No,20,408,34,0,0,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14,7,3.78,553.6,283,52.51,1,0,FALSE
FL,No,Yes,16,415,90,0,1,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,452.6,297,39.43,1,0,FALSE
KY,No,No,42,408,73,0,0,0,94.9,121,16.13,253.2,83,21.52,175.1,86,7.88,14.2,2,3.83,537.4,292,49.36,2,0,FALSE
SC,No,No,46,510,19,0,0,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,713.9,358,77.48,1,1,TRUE
WA,No,Yes,36,408,120,0,1,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,700,280,71.43,1,0,FALSE
MT,No,No,11,415,160,0,0,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,634.1,248,54.42,3,0,FALSE
PA,No,No,48,510,141,0,0,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,563.4,363,52.31,0,0,FALSE
VT,No,No,13,415,72,0,0,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,617,310,57.06,2,0,FALSE
MN,No,Yes,37,408,117,0,1,21,153.2,112,26.04,263.3,110,22.38,135,85,6.08,11.9,7,3.21,563.4,314,57.71,1,0,FALSE
IL,Yes,No,21,408,79,1,0,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,671.1,373,57.81,2,0,FALSE
AR,No,No,27,408,87,0,0,0,185.8,119,31.59,192.3,83,16.35,200,96,9,6.6,4,1.78,584.7,302,58.72,1,0,FALSE
MD,No,No,26,415,102,0,0,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,640.1,270,61.62,1,0,FALSE
MT,No,No,11,408,49,0,0,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,613.2,353,68.01,1,0,FALSE
VT,No,No,13,408,67,0,0,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10,2,2.7,686.5,328,74.03,6,0,FALSE
CO,No,No,17,415,107,0,0,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,523.8,284,52.55,2,0,FALSE
WA,No,No,36,510,118,0,0,0,113,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,478.2,286,44.08,2,0,FALSE
TN,No,No,47,415,120,0,0,0,185.7,133,31.57,235.1,149,19.98,256.4,78,11.54,16.9,6,4.56,694.1,366,67.65,0,0,FALSE
AR,No,No,27,408,94,0,0,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,448.8,308,45.98,0,0,FALSE
DC,No,Yes,40,510,115,0,1,29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11,625.6,279,66.18,1,0,FALSE
MN,No,No,37,415,61,0,0,0,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9,6,2.43,681.3,295,67.92,1,0,FALSE
KS,No,No,1,510,110,0,0,0,208,69,35.36,95.1,94,8.08,178.5,129,8.03,8,11,2.16,489.6,303,53.63,1,0,FALSE
ND,No,No,50,415,104,0,0,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,564.1,303,50.04,1,0,FALSE
MT,No,No,11,510,16,0,0,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,541.8,257,55.12,1,0,FALSE
DC,No,No,40,408,147,0,0,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,587.2,302,58.24,2,0,FALSE
MS,Yes,No,44,510,102,1,0,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12,8,3.24,627.3,245,68.68,3,0,FALSE
IA,No,Yes,10,415,64,0,1,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,429.1,305,41.79,1,0,FALSE
AK,No,No,25,510,103,0,0,0,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11,655.4,214,64.17,2,0,FALSE
MN,No,No,37,415,152,0,0,0,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81,604.5,230,75.39,1,1,TRUE
WV,No,No,8,415,124,0,0,0,312,112,53.04,180,109,15.3,168.6,94,7.59,12.8,4,3.46,673.4,319,79.39,1,1,TRUE
OR,No,No,29,415,97,0,0,0,146,121,24.82,203,141,17.26,151.8,120,6.83,13.3,2,3.59,514.1,384,52.5,1,0,FALSE
MS,No,No,44,415,131,0,0,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,577.6,336,53.1,1,1,TRUE
ME,No,Yes,43,415,57,0,1,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3,662.3,285,65.75,2,0,FALSE
MN,No,No,37,510,157,0,0,0,185.1,92,31.47,213,85,18.11,196.1,85,8.82,8.5,5,2.3,602.7,267,60.7,2,0,FALSE
GA,No,No,24,510,194,0,0,0,193.3,106,32.86,169,150,14.37,225.2,122,10.13,11.8,4,3.19,599.3,382,60.55,0,0,FALSE
DC,No,No,40,415,66,0,0,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,580.8,314,54.05,1,0,FALSE
NY,No,No,41,415,123,0,0,0,123.2,104,20.94,190,117,16.15,170.3,95,7.66,12.9,5,3.48,496.4,321,48.23,4,1,TRUE
OK,No,No,4,510,116,0,0,0,205,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,626,304,61.13,2,0,FALSE
OK,No,No,4,415,63,0,0,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,620,338,56.51,1,0,FALSE
GA,No,No,24,510,64,0,0,0,216.9,78,36.87,211,115,17.94,179.8,116,8.09,11.4,5,3.08,619.1,314,65.98,3,0,FALSE
NJ,No,No,3,510,96,0,0,0,150,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,590.7,328,56.28,3,0,FALSE
ME,No,No,43,510,105,0,0,0,212,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,641.1,362,66.41,3,0,FALSE
MI,No,Yes,45,510,53,0,1,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12,9,3.24,610.7,319,58.88,2,0,FALSE
NE,No,Yes,19,510,129,0,1,30,177.3,95,30.14,211.8,102,18,240.2,108,10.81,9.3,7,2.51,638.6,312,61.46,3,0,FALSE
VT,No,No,13,408,93,0,0,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,545.8,321,54.5,0,0,FALSE
OH,Yes,No,2,510,115,1,0,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,778,302,88.97,1,1,TRUE
AL,No,No,5,408,25,0,0,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,720.6,230,78.67,1,1,TRUE
DC,No,No,40,408,73,0,0,0,122,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,490.3,339,44.16,1,0,FALSE
DE,No,No,30,510,97,0,0,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,747.2,324,74.93,0,1,TRUE
NY,No,No,41,408,148,0,0,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,704.7,328,67.25,1,0,FALSE
AL,No,Yes,5,408,85,0,1,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,590.5,317,60.69,1,0,FALSE
OK,Yes,No,4,510,86,1,0,0,162.4,131,27.61,167,102,14.2,128.9,118,5.8,11.4,2,3.08,469.7,353,50.69,2,1,TRUE
MS,No,Yes,44,415,78,0,1,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,710,328,75.67,2,0,FALSE
MD,No,No,26,415,106,0,0,0,208.3,89,35.41,169.4,67,14.4,102,90,4.59,15.9,4,4.29,495.6,250,58.69,3,0,FALSE
AR,No,No,27,415,145,0,0,0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,738.1,334,77.46,1,1,TRUE
IL,No,No,21,415,91,0,0,0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,528.2,299,59.23,3,0,FALSE
UT,No,Yes,32,415,116,0,1,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,740,272,70.9,1,0,FALSE
LA,No,Yes,23,415,69,0,1,37,155,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,447,324,46.51,1,0,FALSE
ID,No,No,12,510,135,0,0,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,528.7,282,53.9,0,0,FALSE
KY,No,No,42,510,73,0,0,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,692.2,291,70.2,2,0,FALSE
MI,No,No,45,415,48,0,0,0,240,88,40.8,141,117,11.99,128.9,137,5.8,7.1,9,1.92,517,351,60.51,1,0,FALSE
NH,Yes,No,22,415,125,1,0,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,688.4,306,81.84,0,1,TRUE
WV,No,No,8,415,100,0,0,0,166,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,547.3,296,57.27,1,0,FALSE
SD,No,No,34,415,64,0,0,0,174.5,98,29.67,180.2,103,15.32,179,89,8.06,10.7,2,2.89,544.4,292,55.94,2,0,FALSE
MD,Yes,Yes,26,510,116,1,1,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,687.8,323,62.87,1,0,FALSE
ND,Yes,Yes,50,408,147,1,1,35,157.5,109,26.78,189.6,67,16.12,227,76,10.22,11.1,2,3,585.2,254,56.12,3,1,TRUE
MO,No,Yes,7,415,84,0,1,35,207.5,138,35.28,201,116,17.09,164.5,107,7.4,7.5,16,2.03,580.5,377,61.8,4,0,FALSE
IL,No,Yes,21,510,86,0,1,16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,618,335,56.77,4,0,FALSE
UT,No,No,32,415,134,0,0,0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,592.8,312,66.66,2,0,FALSE
MI,No,No,45,415,105,0,0,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,624.6,292,66.37,0,1,TRUE
AR,No,No,27,408,88,0,0,0,152.9,119,25.99,171.2,107,14.55,257,106,11.57,12,5,3.24,593.1,337,55.35,2,0,FALSE
AK,No,No,25,408,86,0,0,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,706.4,278,65.29,1,0,FALSE
NH,No,Yes,22,415,141,0,1,32,322.4,92,54.81,283.2,107,24.07,209.5,111,9.43,6.7,3,1.81,821.8,313,90.12,1,1,TRUE
NM,No,No,38,408,148,0,0,0,153.6,148,26.11,262.1,87,22.28,225.5,99,10.15,9.8,3,2.65,651,337,61.19,2,0,FALSE
MN,No,Yes,37,408,163,0,1,22,215.1,91,36.57,138.9,102,11.81,146.2,109,6.58,12.4,2,3.35,512.6,304,58.31,2,0,FALSE
IA,No,Yes,10,415,89,0,1,35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,510.3,285,55.29,1,0,FALSE
RI,No,No,9,415,63,0,0,0,180.5,126,30.69,230,98,19.55,232.5,73,10.46,10.6,3,2.86,653.6,300,63.56,0,0,FALSE
AL,No,No,5,415,102,0,0,0,123.1,106,20.93,182,102,15.47,244.6,75,11.01,12.6,7,3.4,562.3,290,50.81,2,0,FALSE
SD,No,No,34,408,104,0,0,0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6,6,1.62,561.5,250,56.39,2,0,FALSE
MT,No,Yes,11,415,63,0,1,33,184.2,111,31.31,312.6,89,26.57,264,55,11.88,12.2,4,3.29,773,259,73.05,1,0,FALSE
KY,No,Yes,42,415,105,0,1,24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,778.6,329,79.55,3,0,FALSE
DC,Yes,Yes,40,415,68,1,1,39,142,140,24.14,241.6,89,20.54,302,72,13.59,11.3,5,3.05,696.9,306,61.32,1,0,FALSE
CO,Yes,Yes,17,408,63,1,1,21,151.5,99,25.76,147.8,89,12.56,210.4,114,9.47,10,4,2.7,519.7,306,50.49,1,0,FALSE
KS,Yes,No,1,408,91,1,0,0,246.4,110,41.89,182,98,15.47,157.6,106,7.09,12.1,2,3.27,598.1,316,67.72,2,1,TRUE
NC,No,No,35,415,101,0,0,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,583.9,365,65.41,5,0,FALSE
SC,No,No,46,408,116,0,0,0,288,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,790.6,313,84.82,0,1,TRUE
CO,No,Yes,17,415,131,0,1,23,170.8,145,29.04,236.7,93,20.12,294.5,100,13.25,12.7,1,3.43,714.7,339,65.84,1,0,FALSE
MN,No,No,37,415,84,0,0,0,216.1,114,36.74,197.5,107,16.79,217.8,104,9.8,9.8,3,2.65,641.2,328,65.98,1,0,FALSE
WY,No,No,20,415,104,0,0,0,138.7,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,523.3,260,50.6,2,0,FALSE
FL,No,No,16,510,108,0,0,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,712.2,280,70,3,0,FALSE
NY,No,No,41,415,111,0,0,0,181.8,117,30.91,158.1,91,13.44,266.2,123,11.98,9.7,9,2.62,615.8,340,58.95,0,0,FALSE
OK,No,Yes,4,408,155,0,1,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,555,314,45.67,1,0,FALSE
ME,No,No,43,510,66,0,0,0,207.7,85,35.31,196.7,112,16.72,261.7,83,11.78,6.8,3,1.84,672.9,283,65.65,1,0,FALSE
NE,No,No,19,510,64,0,0,0,219.2,73,37.26,167,65,14.2,161.4,119,7.26,10,5,2.7,557.6,262,61.42,1,0,FALSE
OH,No,No,2,415,69,0,0,0,227,122,38.59,258.7,111,21.99,169.7,87,7.64,8.9,1,2.4,664.3,321,70.62,2,0,FALSE
DC,No,No,40,415,101,0,0,0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,564.5,315,68,0,0,FALSE
OK,No,No,4,415,15,0,0,0,121.1,130,20.59,216,86,18.36,235.1,33,10.58,16.1,5,4.35,588.3,254,53.88,2,0,FALSE
NJ,No,No,3,415,88,0,0,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,705.5,328,82.76,4,1,TRUE
IA,No,No,10,415,197,0,0,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,9.5,3,2.57,645.2,319,69.17,0,0,FALSE
VA,Yes,No,14,415,50,1,0,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,583.2,278,54.12,2,1,TRUE
VA,No,No,14,510,172,0,0,0,169.8,123,28.87,183.1,94,15.56,395,72,17.77,12.7,7,3.43,760.6,296,65.63,2,0,FALSE
NM,Yes,Yes,38,415,188,1,1,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,578.3,303,60.78,1,1,TRUE
FL,Yes,No,16,408,85,1,0,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,560.2,325,51.19,3,0,FALSE
RI,Yes,No,9,510,103,1,0,0,255.9,128,43.5,140.9,92,11.98,308.9,130,13.9,12.1,2,3.27,717.8,352,72.65,1,1,TRUE
NJ,No,Yes,3,408,136,0,1,27,187.7,84,31.91,221,147,18.79,145.7,110,6.56,10,4,2.7,564.4,345,59.96,3,0,FALSE
NE,No,Yes,19,408,155,0,1,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,506.6,290,57.77,0,0,FALSE
WV,No,No,8,415,145,0,0,0,129.4,97,22,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,520.6,306,47.27,2,0,FALSE
WY,No,Yes,20,510,116,0,1,12,221,108,37.57,151,118,12.84,179,80,8.06,9,6,2.43,560,312,60.9,2,0,FALSE
SC,No,No,46,408,152,0,0,0,140.5,92,23.89,186.8,96,15.88,227,89,10.22,9.5,5,2.57,563.8,282,52.56,2,0,FALSE
MS,Yes,No,44,415,65,1,0,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,699.8,316,74.52,0,1,TRUE
ND,No,No,50,415,180,0,0,0,224.9,105,38.23,250,101,21.25,216.1,73,9.72,6.7,5,1.81,697.7,284,71.01,3,1,TRUE
IL,No,No,21,415,67,0,0,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,527.7,388,48.97,0,0,FALSE
OR,No,No,29,415,60,0,0,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,628.6,345,60.49,0,0,FALSE
IA,No,No,10,415,44,0,0,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,665.4,302,76.19,4,1,TRUE
ME,No,No,43,510,25,0,0,0,242.6,69,41.24,209,117,17.77,219.7,82,9.89,14.4,6,3.89,685.7,274,72.79,2,0,FALSE
